totalCount,Monica,Ross,Rachel,Joey,Chandler,Phoebe,MonicaCount,RossCount,RachelCount,JoeyCount,ChandlerCount,PhoebeCount
802.12,146.49999999999997,164.85,137.90000000000003,108.87999999999998,142.66,101.33,882,975,852,643,834,650
662.6700000000001,115.48000000000002,123.69,91.57000000000002,96.54999999999998,124.71999999999998,110.66000000000004,797,909,811,654,784,666
902.1200000000002,144.96000000000004,167.63000000000005,152.55000000000004,150.62,153.88000000000014,132.48000000000005,860,1076,929,780,842,793
859.3800000000001,138.15000000000006,144.04999999999998,154.86,134.37,170.88999999999996,117.06000000000004,820,861,967,844,983,734
948.3100000000004,146.68,167.12,154.78000000000006,184.9100000000001,145.07000000000008,149.7500000000001,914,870,918,942,948,816
935.2000000000004,150.72000000000003,156.08000000000015,139.82000000000002,162.54000000000013,188.96,137.08,910,913,993,911,1040,792
926.12,164.30999999999997,155.59,162.92,157.19,144.38,141.73,907,822,1093,939,849,810
882.6200000000001,156.5000000000001,150.38000000000002,171.82000000000008,178.84000000000006,118.83999999999996,106.24,812,984,1086,909,677,773
921.36,141.23999999999998,149.55,155.91000000000008,143.98000000000002,179.6800000000001,151.00000000000003,908,879,904,859,918,800
674.4599999999999,101.79999999999998,127.62000000000002,113.58,103.15999999999998,115.81999999999996,112.48000000000002,687,871,775,727,693,702
