totalCount,Monica,Ross,Rachel,Joey,Chandler,Phoebe,MonicaCount,RossCount,RachelCount,JoeyCount,ChandlerCount,PhoebeCount
732.7500000000001,129.04000000000005,150.20000000000002,135.1,85.36999999999999,138.46000000000004,94.58,882,975,852,643,834,650
719.75,138.68999999999997,129.92000000000002,122.95000000000002,89.86,121.07,117.26000000000003,797,909,811,654,784,666
798.04,126.81,165.27,155.00000000000003,93.33,128.85999999999996,128.77000000000004,860,1076,929,780,842,793
756.48,129.03,105.86,154.23000000000005,108.87999999999997,145.51,112.97000000000004,820,861,967,844,983,734
843.9000000000001,151.10000000000005,118.55,134.34999999999997,150.85000000000008,160.85000000000005,128.19999999999996,914,870,918,942,948,816
903.91,160.66999999999993,151.53999999999996,158.73000000000005,137.26000000000005,170.9300000000001,124.78,910,913,993,911,1040,792
789.3800000000002,123.49000000000004,127.74,165.4600000000001,125.98000000000002,130.23999999999998,116.46999999999998,907,822,1093,939,849,810
809.1500000000003,116.82000000000002,141.12000000000006,189.09000000000012,143.62000000000006,98.95,119.55,812,984,1086,909,677,773
871.0800000000002,156.4200000000001,149.30999999999997,148.37000000000003,132.82000000000005,159.88000000000002,124.28000000000006,908,879,904,859,918,800
678.5200000000001,105.63000000000004,132.55999999999997,131.79000000000002,100.10000000000002,104.14000000000006,104.29999999999995,687,871,775,727,693,702
