Season,Episode,Title,Abstract,Director,Rating,Character,Colour
1,1,The One Where Monica Gets a Roommate: The Pilot,Monica and the gang introduce Rachel to the real world after she leaves her fiancé at the altar.,James Burrows,8.3,Rachel,#eab913
1,2,The One with the Sonogram at the End,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,James Burrows,8.1,Ross,#85a2be
1,3,The One with the Thumb,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,James Burrows,8.2,Monica,#be0a09
1,4,The One with George Stephanopoulos,Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol while the girls become depressed when they realize they don't have a plan.,James Burrows,8.1,Rachel,#eab913
1,5,The One with the East German Laundry Detergent,Eager to spend time with Rachel Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile Joey has Monica pose as his girlfriend and Chandler struggles to break up with his girlfriend.,Pamela Fryman,8.5,Ross,#85a2be
1,6,The One with the Butt,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Arlene Sanford,8.1,Chandler,#d8873a
1,7,The One with the Blackout,When New York suffers from a blackout Ross tries to tell Rachel that he likes her and Chandler gets stuck in an ATM vestibule with a model.,James Burrows,9.0,Ross,#85a2be
1,8,The One Where Nana Dies Twice,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,James Burrows,8.1,Ross,#85a2be
1,9,The One Where Underdog Gets Away,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,James Burrows,8.2,Monica,#be0a09
1,10,The One with the Monkey,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Peter Bonerz,8.1,Phoebe,#B88194
1,11,The One with Mrs. Bing,Chandler's flamboyant romance-novelist mother comes to visit and Joey catches her kissing Ross. Meanwhile Monica and Phoebe fight over a guy in a coma.,James Burrows,8.2,Ross,#85a2be
1,12,The One with the Dozen Lasagnas,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,Paul Lazarus,8.2,Ross,#85a2be
1,13,The One with the Boobies,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alan Myerson,8.7,Joey,#76a47d
1,14,The One with the Candy Hearts,As Valentine's Day approaches Ross and his date end up at the same restaurant as Carol and Susan. Joey inadvertently sets Chandler up on a blind date with Janice and the girls burn mementos of their old boyfriends.,James Burrows,8.3,Ross,#85a2be
1,15,The One with the Stoned Guy,Monica cooks a gourmet meal for a restaurateur who is looking for a new chef however he arrives at the apartment stoned. Meanwhile Ross tries to master dirty talk.,Alan Myerson,8.2,Chandler,#d8873a
1,16,The One with Two Parts: Part 1,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Michael Lembeck,8.2,Chandler,#d8873a
1,17,The One with Two Parts: Part 2,Rachel switches identities with Monica so she can use her health insurance. Meanwhile Ursula continues to come between Phoebe and Joey.,Michael Lembeck,8.5,Ross,#85a2be
1,18,The One with All the Poker,As Rachel interviews for a new job the girls take on the guys in a game of poker.,James Burrows,8.8,Rachel,#eab913
1,19,The One Where the Monkey Gets Away,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,Peter Bonerz,8.1,Rachel,#eab913
1,20,The One with the Evil Orthodontist,Rachel and Barry start dating again despite the fact that he's now engaged to Mindy. Chandler goes nuts when a woman he likes won't return his phone calls.,Peter Bonerz,7.9,Rachel,#eab913
1,21,The One with the Fake Monica,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,Gail Mancuso,7.9,Monica,#be0a09
1,22,The One with the Ick Factor,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,Robby Benson,8.3,Monica,#be0a09
1,23,The One with the Birth,As Carol goes into labor Ross and Susan argue. Rachel flirts with Carol's doctor and Joey assists a pregnant single mother.,James Burrows,8.7,Ross,#85a2be
1,24,The One Where Rachel Finds Out,As Ross leaves for China Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.,Kevin Bright,8.9,Rachel,#eab913
2,1,The One with Ross's New Girlfriend,Rachel waits for Ross at the airport unaware he has a new girlfriend. Meanwhile Chandler has a frightening experience with Joey's tailor and Phoebe gives Monica a bad haircut.,Michael Lembeck,8.5,Rachel,#eab913
2,2,The One with the Breast Milk,Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job Joey competes with a fellow cologne spritzer.,Michael Lembeck,8.2,Monica,#be0a09
2,3,The One Where Heckles Dies,After Mr. Heckles dies and leaves all his belongings to Monica and Rachel Chandler worries he will die alone just like him. Meanwhile Phoebe and Ross argue over evolution.,Kevin Bright,8.4,Chandler,#d8873a
2,4,The One with Phoebe's Husband,When the gang find out Phoebe married a gay Canadian ice dancer for a green card more of their secrets are revealed. Meanwhile Rachel gives Ross bad advice on his relationship with Julie.,Gail Mancuso,8.0,Rachel,#eab913
2,5,The One with Five Steaks and an Eggplant,The gang are divided by income issues: Monica Ross and Chandler have money and Rachel Phoebe and Joey don't.,Ellen Gittelsohn,8.3,Chandler,#d8873a
2,6,The One with the Baby on the Bus,Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile Phoebe loses her singing gig at Central Perk to a professional singer.,Gail Mancuso,8.6,Phoebe,#B88194
